day,mean_reputation,median_reputation,total_reputation
8,2.0,2.0,4.0
9,3.163097515413476,3.1656666666666666,18.978585092480856
10,2.6786681193683086,2.0,26.786681193683087
11,2.7373878591234972,1.9901274286703499,32.848654309481965
12,2.564778832081652,1.978934467309641,38.47168248122478
13,3.0414952465671155,1.9903338299352153,54.74691443820808
14,2.8177712165428637,2.0,70.44428041357159
15,2.787463980830663,2.0,91.98631136741189
16,3.0348923412302686,1.9799246772626797,112.29101662551994
17,3.1439000669777797,2.0,144.61940308097786
18,3.3129322987879886,2.0,178.8983441345514
19,3.514813539512354,2.0,214.4036259102536
20,3.400483084365075,2.0,234.63333282119015
21,3.372027300322734,2.0,283.25029322710964
22,3.5543869720421197,2.0,330.5579883999171
23,3.429538991826662,2.0,387.5379060764128
24,3.644937122926335,1.980626376175644,466.5519517345709
25,4.045459595758171,2.0,578.5007221934185
26,4.086821180887599,3.2739262700040164,686.5859583891165
27,4.351828529872835,3.203486525639824,818.1437636160929
28,4.286292059273045,2.0,934.4116689215238
29,4.33876977349518,2.0,1106.386292241271
30,4.257042227830609,2.0,1208.999992703893
31,4.324013111869276,2.0,1418.2763006931227
32,4.530823370748164,2.0,1662.8121770645764
33,4.644679544729267,3.0899585902423166,1927.542011062646
34,4.81918754662487,3.3336938562325247,2308.390834833313
35,5.033567419961886,3.3415950133265104,2667.7907325797996
36,5.1897608890700715,3.4843235639048897,3072.3384463294824
37,5.347971265977032,3.4501096690725497,3529.661035544841
38,5.279229529578453,3.372018437028582,3547.6422438767204
