day,new_users,churned_users,net_change,cumulative_present
0,50,2,48,48
1,6,5,1,49
2,5,5,0,49
3,6,0,6,55
4,7,3,4,59
5,8,4,4,63
6,8,7,1,64
7,9,7,2,66
8,12,4,8,74
9,13,10,3,77
10,15,8,7,84
11,15,7,8,92
12,18,9,9,101
13,20,14,6,107
14,24,10,14,121
15,26,23,3,124
16,30,11,19,143
17,35,16,19,162
18,41,26,15,177
19,42,18,24,201
20,50,39,11,212
21,57,31,26,238
22,64,29,35,273
23,76,42,34,307
24,81,45,36,343
25,102,46,56,399
26,107,62,45,444
27,124,56,68,512
28,139,56,83,595
29,158,77,81,676
30,178,0,178,854
