Sample,core_degree_similarity,weighted_degree_correlation,Overall_Similarity
sample_1,0.43223443223443225,0.04600548134937717,0.2391199567919047
sample_7,0.251131221719457,0.0914649296482049,0.17129807568383096
sample_10,0.0,0.11533397290406026,0.05766698645203013
sample_4,0.0,0.08200412337707937,0.04100206168853968
sample_5,0.0,0.0608502424215699,0.03042512121078495
sample_9,0.0,0.026855193947193053,0.013427596973596526
sample_2,0.0,0.025645129885733798,0.012822564942866899
sample_6,0.0,0.025393437421983748,0.012696718710991874
sample_8,0.0,0.014395836055520996,0.007197918027760498
sample_3,0.0,0.009517459634404403,0.0047587298172022015
